"PointID","x","y","z"
0, 3.899999943328351e+01, 2.300002540280516e+00, 1.365151215534195e+00
1, 3.899999943328352e+01, 2.303333076178640e+00, 1.361432551576707e+00
2, 3.899999943328349e+01, 2.306061025644831e+00, 1.356987667430752e+00
3, 3.899999943328349e+01, 2.307799792524235e+00, 1.351233207201437e+00
4, 3.899999943328348e+01, 2.308212829300364e+00, 1.344227766064896e+00
5, 3.899999943328350e+01, 2.307358324683566e+00, 1.336079699879658e+00
6, 3.899999943328346e+01, 2.305334242818203e+00, 1.326757951344046e+00
7, 3.899999943328351e+01, 2.302149014786798e+00, 1.316138781217866e+00
8, 3.899999943328346e+01, 2.297765882799774e+00, 1.304031924042914e+00
9, 3.899999943328349e+01, 2.292087494411087e+00, 1.290200295773675e+00
10, 3.899999943328351e+01, 2.284959983348549e+00, 1.274366056321244e+00
11, 3.899999943328354e+01, 2.276182923441363e+00, 1.256206898554547e+00
12, 3.899999943328353e+01, 2.265504660739278e+00, 1.235349891147370e+00
13, 3.899999943328352e+01, 2.252609515599926e+00, 1.211368724624733e+00
14, 3.899999943328351e+01, 2.237127557010266e+00, 1.183775528830555e+00
15, 3.899999943328351e+01, 2.218864845649108e+00, 1.152420844285698e+00
16, 3.899999943328351e+01, 2.197650545445917e+00, 1.117244562378830e+00
17, 3.899999943328349e+01, 2.173206220082026e+00, 1.078021868647355e+00
18, 3.899999943328350e+01, 2.145040354890392e+00, 1.034218875674718e+00
19, 3.899999943328351e+01, 2.112478414600200e+00, 9.851760960790400e-01
20, 3.899999943328348e+01, 2.074267627898831e+00, 9.295416501699969e-01
21, 3.899999943328345e+01, 2.029259854742385e+00, 8.663815137336812e-01
22, 3.899999943328348e+01, 1.976452921949413e+00, 7.953485089735884e-01
23, 3.899999943328350e+01, 1.916717803968882e+00, 7.187886543507631e-01
24, 3.899999943328351e+01, 1.852451752692070e+00, 6.408347265243212e-01
25, 3.899999943328349e+01, 1.784857992892898e+00, 5.637499509383317e-01
26, 3.899999943328348e+01, 1.713720371011337e+00, 4.880898523858142e-01
27, 3.899999943328353e+01, 1.638854112160150e+00, 4.145567469147424e-01
28, 3.899999943328352e+01, 1.558928558544527e+00, 3.429959202133614e-01
29, 3.899999943328350e+01, 1.473403253976379e+00, 2.744009403893135e-01
30, 3.899999943328351e+01, 1.382099695816131e+00, 2.101420752044304e-01
31, 3.899999943328353e+01, 1.284927187908197e+00, 1.516380207637610e-01
32, 3.899999943328351e+01, 1.182545175757941e+00, 1.004078069957110e-01
33, 3.899999943328348e+01, 1.076266761463803e+00, 5.764188075732075e-02
34, 3.899999943328353e+01, 9.675816966556134e-01, 2.361301354302318e-02
35, 3.899999943328349e+01, 8.582381076853641e-01, -2.071635102375219e-03
36, 3.899999943328348e+01, 7.501435494332568e-01, -2.049662862988332e-02
37, 3.899999943328348e+01, 6.442948697742379e-01, -3.313892988854138e-02
38, 3.899999943328352e+01, 5.422694300870223e-01, -4.132492332560975e-02
39, 3.899999943328348e+01, 4.456952507479673e-01, -4.631798512258972e-02
40, 3.899999943328351e+01, 3.577670441440264e-01, -4.913222058404264e-02
41, 3.899999943328350e+01, 2.793168623249480e-01, -5.060731516862163e-02
42, 3.899999943328351e+01, 2.104255983873653e-01, -5.134214756066396e-02
43, 3.899999943328352e+01, 1.496098224514563e-01, -5.166095409684116e-02
